activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,18300458,[],CHEMBL4124682,Binding affinity to 80S ribosome in human HuH7 cells harboring pCMV-truncated human PCSK9 (1 to 152 residues)-proLuc assessed as inhibition of PCSK9 mRNA translation after overnight incubation by luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(CCC(=O)N(c2nccc3ccccc23)[C@@H]2CCCNC2)cc1,,,CHEMBL4118248,J Med Chem,2018,"{'bei': '14.33', 'le': '0.26', 'lle': '1.62', 'sei': '10.25'}",CHEMBL4128250,,CHEMBL4128250,5.58,True,http://www.openphacts.org/units/Nanomolar,3038039,=,1,True,=,,IC50,nM,,2630.0,CHEMBL3987582,Homo sapiens,80S Ribosome,9606,,,IC50,uM,UO_0000065,,2.63
,18300459,[],CHEMBL4124682,Binding affinity to 80S ribosome in human HuH7 cells harboring pCMV-truncated human PCSK9 (1 to 152 residues)-proLuc assessed as inhibition of PCSK9 mRNA translation after overnight incubation by luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(c1ccc(-c2cnccn2)cc1)N(c1nccc2ccccc12)[C@@H]1CCCNC1,,,CHEMBL4118248,J Med Chem,2018,"{'bei': '13.11', 'le': '0.24', 'lle': '1.28', 'sei': '7.56'}",CHEMBL4127016,,CHEMBL4127016,5.37,False,http://www.openphacts.org/units/Nanomolar,3038041,=,1,True,=,,IC50,nM,,4300.0,CHEMBL3987582,Homo sapiens,80S Ribosome,9606,,,IC50,uM,UO_0000065,,4.3
,18300460,[],CHEMBL4124682,Binding affinity to 80S ribosome in human HuH7 cells harboring pCMV-truncated human PCSK9 (1 to 152 residues)-proLuc assessed as inhibition of PCSK9 mRNA translation after overnight incubation by luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cn1cc(-c2ccc(C(=O)N(c3nccc4ccccc34)[C@@H]3CCCNC3)cc2)cn1,,,CHEMBL4118248,J Med Chem,2018,"{'bei': '14.52', 'le': '0.26', 'lle': '1.94', 'sei': '9.48'}",CHEMBL4128388,,CHEMBL4128388,5.97,False,http://www.openphacts.org/units/Nanomolar,3038042,=,1,True,=,,IC50,nM,,1060.0,CHEMBL3987582,Homo sapiens,80S Ribosome,9606,,,IC50,uM,UO_0000065,,1.06
,18300461,[],CHEMBL4124682,Binding affinity to 80S ribosome in human HuH7 cells harboring pCMV-truncated human PCSK9 (1 to 152 residues)-proLuc assessed as inhibition of PCSK9 mRNA translation after overnight incubation by luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(c1ccc(-c2cnn3cccnc23)cc1)N(c1nccc2ccccc12)[C@@H]1CCCNC1,,,CHEMBL4118248,J Med Chem,2018,"{'bei': '13.74', 'le': '0.25', 'lle': '1.82', 'sei': '8.17'}",CHEMBL4130157,,CHEMBL4130157,6.16,False,http://www.openphacts.org/units/Nanomolar,3038043,=,1,True,=,,IC50,nM,,690.0,CHEMBL3987582,Homo sapiens,80S Ribosome,9606,,,IC50,uM,UO_0000065,,0.69
,18300462,[],CHEMBL4124682,Binding affinity to 80S ribosome in human HuH7 cells harboring pCMV-truncated human PCSK9 (1 to 152 residues)-proLuc assessed as inhibition of PCSK9 mRNA translation after overnight incubation by luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(c1ccc(-n2nnc3cccnc32)cc1)N(c1nccc2ccccc12)[C@@H]1CCCNC1,,,CHEMBL4118248,J Med Chem,2018,"{'bei': '14.26', 'le': '0.26', 'lle': '2.65', 'sei': '7.21'}",CHEMBL4126894,,CHEMBL4126894,6.41,False,http://www.openphacts.org/units/Nanomolar,3038044,=,1,True,=,,IC50,nM,,390.0,CHEMBL3987582,Homo sapiens,80S Ribosome,9606,,,IC50,uM,UO_0000065,,0.39
,18300463,[],CHEMBL4124682,Binding affinity to 80S ribosome in human HuH7 cells harboring pCMV-truncated human PCSK9 (1 to 152 residues)-proLuc assessed as inhibition of PCSK9 mRNA translation after overnight incubation by luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(c1ccc(-n2nnc3cccnc32)cc1)N(c1ncccc1Cl)[C@@H]1CCCNC1,,,CHEMBL4118248,J Med Chem,2018,"{'bei': '14.80', 'le': '0.28', 'lle': '3.16', 'sei': '7.23'}",CHEMBL4109308,,CHEMBL4109308,6.42,False,http://www.openphacts.org/units/Nanomolar,3038045,=,1,True,=,,IC50,nM,,380.0,CHEMBL3987582,Homo sapiens,80S Ribosome,9606,,,IC50,uM,UO_0000065,,0.38
,18300464,[],CHEMBL4124682,Binding affinity to 80S ribosome in human HuH7 cells harboring pCMV-truncated human PCSK9 (1 to 152 residues)-proLuc assessed as inhibition of PCSK9 mRNA translation after overnight incubation by luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc2nnn(-c3ccc(C(=O)N(c4ncccc4Cl)[C@@H]4CCCNC4)cc3)c2n1,,,CHEMBL4118248,J Med Chem,2018,"{'bei': '14.17', 'le': '0.27', 'lle': '2.78', 'sei': '7.14'}",CHEMBL4126496,,CHEMBL4126496,6.35,False,http://www.openphacts.org/units/Nanomolar,3038047,=,1,True,=,,IC50,nM,,450.0,CHEMBL3987582,Homo sapiens,80S Ribosome,9606,,,IC50,uM,UO_0000065,,0.45
,18300465,[],CHEMBL4124682,Binding affinity to 80S ribosome in human HuH7 cells harboring pCMV-truncated human PCSK9 (1 to 152 residues)-proLuc assessed as inhibition of PCSK9 mRNA translation after overnight incubation by luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cnc2c(c1)nnn2-c1ccc(C(=O)N(c2ncccc2Cl)[C@@H]2CCCNC2)cc1,,,CHEMBL4118248,J Med Chem,2018,"{'bei': '14.26', 'le': '0.27', 'lle': '2.82', 'sei': '7.19'}",CHEMBL4114159,,CHEMBL4114159,6.39,False,http://www.openphacts.org/units/Nanomolar,3038048,=,1,True,=,,IC50,nM,,410.0,CHEMBL3987582,Homo sapiens,80S Ribosome,9606,,,IC50,uM,UO_0000065,,0.41
,18300466,[],CHEMBL4124682,Binding affinity to 80S ribosome in human HuH7 cells harboring pCMV-truncated human PCSK9 (1 to 152 residues)-proLuc assessed as inhibition of PCSK9 mRNA translation after overnight incubation by luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(c1ccc(-n2nnc3cccnc32)cn1)N(c1ncccc1Cl)[C@@H]1CCCNC1,,,CHEMBL4118248,J Med Chem,2018,"{'bei': '14.14', 'le': '0.27', 'lle': '3.49', 'sei': '6.04'}",CHEMBL4108338,,CHEMBL4108338,6.15,False,http://www.openphacts.org/units/Nanomolar,3038049,=,1,True,=,,IC50,nM,,710.0,CHEMBL3987582,Homo sapiens,80S Ribosome,9606,,,IC50,uM,UO_0000065,,0.71
,18300467,[],CHEMBL4124682,Binding affinity to 80S ribosome in human HuH7 cells harboring pCMV-truncated human PCSK9 (1 to 152 residues)-proLuc assessed as inhibition of PCSK9 mRNA translation after overnight incubation by luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(c1ccc(-n2nnc3cccnc32)nc1)N(c1ncccc1Cl)[C@@H]1CCCNC1,,,CHEMBL4118248,J Med Chem,2018,"{'bei': '12.39', 'le': '0.24', 'lle': '2.73', 'sei': '5.30'}",CHEMBL4128560,,CHEMBL4128560,5.39,False,http://www.openphacts.org/units/Nanomolar,3038050,=,1,True,=,,IC50,nM,,4100.0,CHEMBL3987582,Homo sapiens,80S Ribosome,9606,,,IC50,uM,UO_0000065,,4.1
