activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,16533835,[],CHEMBL3789280,Inhibition of His-tagged Klebsiella pneumoniae NDM-1 expressed in Escherichia coli BL21-AI cells using imipinem as substrate,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCc1ccc(C(=O)CCC(=O)O)cc1,,,CHEMBL3785049,Bioorg. Med. Chem. Lett.,2016,"{'bei': '11.38', 'le': '0.21', 'lle': '-0.18', 'sei': '4.61'}",CHEMBL1379384,,CHEMBL1379384,2.51,False,http://www.openphacts.org/units/Nanomolar,2768761,=,1,True,=,,IC50,nM,,3109000.0,CHEMBL1667695,Klebsiella pneumoniae,Beta-lactamase NDM-1,573,,,IC50,uM,UO_0000065,,3109.0
,16533836,[],CHEMBL3789280,Inhibition of His-tagged Klebsiella pneumoniae NDM-1 expressed in Escherichia coli BL21-AI cells using imipinem as substrate,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CSc1ccnc2cc(Cl)ccc12,,,CHEMBL3785049,Bioorg. Med. Chem. Lett.,2016,"{'bei': '11.46', 'le': '0.25', 'lle': '-0.15', 'sei': '5.79'}",CHEMBL1327484,,CHEMBL1327484,2.91,False,http://www.openphacts.org/units/Nanomolar,2768760,=,1,True,=,,IC50,nM,,1238000.0,CHEMBL1667695,Klebsiella pneumoniae,Beta-lactamase NDM-1,573,,,IC50,uM,UO_0000065,,1238.0
,16533837,[],CHEMBL3789280,Inhibition of His-tagged Klebsiella pneumoniae NDM-1 expressed in Escherichia coli BL21-AI cells using imipinem as substrate,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CCCc1c[nH]c2ccccc12,,,CHEMBL3785049,Bioorg. Med. Chem. Lett.,2016,"{'bei': '13.34', 'le': '0.25', 'lle': '0.13', 'sei': '5.11'}",CHEMBL582878,INDOLE-3-BUTYRIC ACID,CHEMBL582878,2.71,False,http://www.openphacts.org/units/Nanomolar,2768759,=,1,True,=,,IC50,nM,,1946000.0,CHEMBL1667695,Klebsiella pneumoniae,Beta-lactamase NDM-1,573,,,IC50,uM,UO_0000065,,1946.0
,16533838,[],CHEMBL3789280,Inhibition of His-tagged Klebsiella pneumoniae NDM-1 expressed in Escherichia coli BL21-AI cells using imipinem as substrate,B,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1coc2ccccc2c1=O,,,CHEMBL3785049,Bioorg. Med. Chem. Lett.,2016,"{'bei': '19.39', 'le': '0.35', 'lle': '1.66', 'sei': '6.15'}",CHEMBL3278535,,CHEMBL3278535,3.32,False,http://www.openphacts.org/units/Nanomolar,2768758,=,1,True,=,,IC50,nM,,480000.0,CHEMBL1667695,Klebsiella pneumoniae,Beta-lactamase NDM-1,573,,,IC50,uM,UO_0000065,,480.0
,16533845,[],CHEMBL3789280,Inhibition of His-tagged Klebsiella pneumoniae NDM-1 expressed in Escherichia coli BL21-AI cells using imipinem as substrate,B,,,BAO_0000190,BAO_0000219,cell-based format,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,,,CHEMBL3785049,Bioorg. Med. Chem. Lett.,2016,"{'bei': '19.80', 'le': '0.42', 'lle': '3.67', 'sei': '7.47'}",CHEMBL1560,CAPTOPRIL,CHEMBL1560,4.30,False,http://www.openphacts.org/units/Nanomolar,2768763,=,1,True,=,,IC50,nM,,49800.0,CHEMBL1667695,Klebsiella pneumoniae,Beta-lactamase NDM-1,573,,,IC50,uM,UO_0000065,,49.8
,16533857,[],CHEMBL3789280,Inhibition of His-tagged Klebsiella pneumoniae NDM-1 expressed in Escherichia coli BL21-AI cells using imipinem as substrate,B,,,BAO_0000190,BAO_0000219,cell-based format,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,,,CHEMBL3785049,Bioorg. Med. Chem. Lett.,2016,"{'bei': '19.79', 'le': '0.42', 'lle': '3.67', 'sei': '7.46'}",CHEMBL1560,CAPTOPRIL,CHEMBL1560,4.30,False,http://www.openphacts.org/units/Nanomolar,2768763,=,1,True,=,,IC50,nM,,50118.72,CHEMBL1667695,Klebsiella pneumoniae,Beta-lactamase NDM-1,573,,,pIC50,,UO_0000065,,4.3
,16533863,[],CHEMBL3789280,Inhibition of His-tagged Klebsiella pneumoniae NDM-1 expressed in Escherichia coli BL21-AI cells using imipinem as substrate,B,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1coc2ccccc2c1=O,,,CHEMBL3785049,Bioorg. Med. Chem. Lett.,2016,"{'bei': '19.40', 'le': '0.35', 'lle': '1.66', 'sei': '6.15'}",CHEMBL3278535,,CHEMBL3278535,3.32,False,http://www.openphacts.org/units/Nanomolar,2768758,=,1,True,=,,IC50,nM,,478630.09,CHEMBL1667695,Klebsiella pneumoniae,Beta-lactamase NDM-1,573,,,pIC50,,UO_0000065,,3.32
,16533864,[],CHEMBL3789280,Inhibition of His-tagged Klebsiella pneumoniae NDM-1 expressed in Escherichia coli BL21-AI cells using imipinem as substrate,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CCCc1c[nH]c2ccccc12,,,CHEMBL3785049,Bioorg. Med. Chem. Lett.,2016,"{'bei': '13.33', 'le': '0.25', 'lle': '0.13', 'sei': '5.10'}",CHEMBL582878,INDOLE-3-BUTYRIC ACID,CHEMBL582878,2.71,False,http://www.openphacts.org/units/Nanomolar,2768759,=,1,True,=,,IC50,nM,,1949844.6,CHEMBL1667695,Klebsiella pneumoniae,Beta-lactamase NDM-1,573,,,pIC50,,UO_0000065,,2.71
,16533865,[],CHEMBL3789280,Inhibition of His-tagged Klebsiella pneumoniae NDM-1 expressed in Escherichia coli BL21-AI cells using imipinem as substrate,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CSc1ccnc2cc(Cl)ccc12,,,CHEMBL3785049,Bioorg. Med. Chem. Lett.,2016,"{'bei': '11.71', 'le': '0.25', 'lle': '-0.09', 'sei': '5.92'}",CHEMBL1327484,,CHEMBL1327484,2.97,False,http://www.openphacts.org/units/Nanomolar,2768760,=,1,True,=,,IC50,nM,,1071519.31,CHEMBL1667695,Klebsiella pneumoniae,Beta-lactamase NDM-1,573,,,pIC50,,UO_0000065,,2.97
,16533866,[],CHEMBL3789280,Inhibition of His-tagged Klebsiella pneumoniae NDM-1 expressed in Escherichia coli BL21-AI cells using imipinem as substrate,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCc1ccc(C(=O)CCC(=O)O)cc1,,,CHEMBL3785049,Bioorg. Med. Chem. Lett.,2016,"{'bei': '11.40', 'le': '0.21', 'lle': '-0.18', 'sei': '4.62'}",CHEMBL1379384,,CHEMBL1379384,2.51,False,http://www.openphacts.org/units/Nanomolar,2768761,=,1,True,=,,IC50,nM,,3090295.43,CHEMBL1667695,Klebsiella pneumoniae,Beta-lactamase NDM-1,573,,,pIC50,,UO_0000065,,2.51
