molecule_chembl_id,canonical_smiles,standard_value
CHEMBL1379384,CCCc1ccc(C(=O)CCC(=O)O)cc1,3109000.0
CHEMBL1327484,O=C(O)CSc1ccnc2cc(Cl)ccc12,1238000.0
CHEMBL582878,O=C(O)CCCc1c[nH]c2ccccc12,1946000.0
CHEMBL3278535,N#Cc1coc2ccccc2c1=O,480000.0
CHEMBL1560,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,49800.0
CHEMBL3809576,O=C(CSc1nnc(-c2ccccc2O)[nH]1)Nc1cccc(Cl)c1,160.0
CHEMBL3810416,O=C(CSc1nnc(-c2ccc(O)cc2)[nH]1)Nc1ccccc1,1200.0
CHEMBL3809666,O=C(CSc1nnc(-c2ccccc2O)[nH]1)Nc1ccccc1Cl,980.0
CHEMBL3808671,CCCCc1ccc(NC(=O)CSc2nnc(-c3ccccc3O)[nH]2)cc1,160.0
CHEMBL3809559,CCc1ccccc1NC(=O)CSc1nnc(-c2ccccc2O)[nH]1,930.0
CHEMBL3809719,Cc1ccccc1NC(=O)CSc1nnc(-c2ccccc2O)[nH]1,160.0
CHEMBL3809609,O=C(CSc1nnc(-c2ccccc2O)[nH]1)Nc1ccccc1,420.0
CHEMBL3810164,O=C(CSc1nnc(-c2ccccc2)[nH]1)Nc1cccc(Cl)c1,690.0
CHEMBL3809469,O=C(CSc1nnc(-c2ccccc2)[nH]1)Nc1ccccc1Cl,350.0
CHEMBL3810052,CCCCc1ccc(NC(=O)CSc2nnc(-c3ccccc3)[nH]2)cc1,150.0
CHEMBL3809445,CCc1ccccc1NC(=O)CSc1nnc(-c2ccccc2)[nH]1,990.0
CHEMBL3808678,Cc1ccccc1NC(=O)CSc1nnc(-c2ccccc2)[nH]1,190.0
CHEMBL3809713,O=C(CSc1nnc(-c2ccccc2)[nH]1)Nc1ccccc1,170.0
CHEMBL3809860,Nc1ccccc1-c1nnc(SCC(=O)Nc2cccc(Cl)c2)[nH]1,230.0
CHEMBL3809238,Nc1ccccc1-c1nnc(SCC(=O)Nc2ccccc2Cl)[nH]1,610.0
CHEMBL3809806,CCCCc1ccc(NC(=O)CSc2nnc(-c3ccccc3N)[nH]2)cc1,160.0
CHEMBL3810122,CCc1ccccc1NC(=O)CSc1nnc(-c2ccccc2N)[nH]1,450.0
CHEMBL3809903,Cc1ccccc1NC(=O)CSc1nnc(-c2ccccc2N)[nH]1,1900.0
CHEMBL3808891,Nc1ccccc1-c1nnc(SCC(=O)Nc2ccccc2)[nH]1,330.0
CHEMBL3808813,O=C(CSc1nnc(-c2ccc(O)cc2)[nH]1)Nc1cccc(Cl)c1,370.0
CHEMBL3810235,O=C(CSc1nnc(-c2ccc(O)cc2)[nH]1)Nc1ccccc1Cl,520.0
CHEMBL3808797,CCCCc1ccc(NC(=O)CSc2nnc(-c3ccc(O)cc3)[nH]2)cc1,480.0
CHEMBL3809001,CCc1ccccc1NC(=O)CSc1nnc(-c2ccc(O)cc2)[nH]1,1500.0
CHEMBL3808541,Cc1ccccc1NC(=O)CSc1nnc(-c2ccc(O)cc2)[nH]1,980.0
