activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,6363240,[],CHEMBL1831816,Inhibition of chloroquine-resistant Plasmodium falciparum Dd2 chloroquine resistance transporter expressed in xenopus laevis oocytes assessed as inhibition of [3H]chloroquine uptake after 1 to 2 hrs,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(Cc1ccccc1)Cc1ccccc1CNc1ccnc2cc(Cl)ccc12,,,CHEMBL1828581,J. Med. Chem.,2011,"{'bei': '10.54', 'le': '0.20', 'lle': '-1.89', 'sei': '15.04'}",CHEMBL1830985,,CHEMBL1830985,4.24,False,http://www.openphacts.org/units/Nanomolar,1459501,=,1,True,=,,IC50,nM,,58000.0,CHEMBL1795182,Plasmodium falciparum,Chloroquine resistance transporter,5833,,,IC50,uM,UO_0000065,,58.0
,6363241,[],CHEMBL1831816,Inhibition of chloroquine-resistant Plasmodium falciparum Dd2 chloroquine resistance transporter expressed in xenopus laevis oocytes assessed as inhibition of [3H]chloroquine uptake after 1 to 2 hrs,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(Cc1ccccc1)Cc1cccc(CNc2ccnc3cc(Cl)ccc23)c1,,,CHEMBL1828581,J. Med. Chem.,2011,"{'bei': '11.06', 'le': '0.21', 'lle': '-1.69', 'sei': '15.78'}",CHEMBL1830986,,CHEMBL1830986,4.44,False,http://www.openphacts.org/units/Nanomolar,1459502,=,1,True,=,,IC50,nM,,36000.0,CHEMBL1795182,Plasmodium falciparum,Chloroquine resistance transporter,5833,,,IC50,uM,UO_0000065,,36.0
,6363242,[],CHEMBL1831816,Inhibition of chloroquine-resistant Plasmodium falciparum Dd2 chloroquine resistance transporter expressed in xenopus laevis oocytes assessed as inhibition of [3H]chloroquine uptake after 1 to 2 hrs,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(Cc1ccccc1)Cc1ccc(CNc2ccnc3cc(Cl)ccc23)cc1,,,CHEMBL1828581,J. Med. Chem.,2011,"{'bei': '10.35', 'le': '0.20', 'lle': '-1.97', 'sei': '14.78'}",CHEMBL1830987,,CHEMBL1830987,4.16,False,http://www.openphacts.org/units/Nanomolar,1459503,=,1,True,=,,IC50,nM,,69000.0,CHEMBL1795182,Plasmodium falciparum,Chloroquine resistance transporter,5833,,,IC50,uM,UO_0000065,,69.0
,12111139,[],CHEMBL2176281,Inhibition of chloroquine-resistant Plasmodium falciparum Dd2 CRT expressed in Xenopus laevis oocyte assessed as inhibition of [3H]chloroquine uptake measured from 1 to 2 hrs,B,,,BAO_0000190,BAO_0000019,assay format,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,,,CHEMBL2169878,J. Med. Chem.,2012,"{'bei': '7.28', 'le': '0.14', 'lle': '1.80', 'sei': '2.93'}",CHEMBL114,SAQUINAVIR,CHEMBL114,4.89,True,http://www.openphacts.org/units/Nanomolar,1742949,=,1,True,=,,IC50,nM,,13000.0,CHEMBL1795182,Plasmodium falciparum,Chloroquine resistance transporter,5833,,,IC50,uM,UO_0000065,,13.0
,12111140,[],CHEMBL2176281,Inhibition of chloroquine-resistant Plasmodium falciparum Dd2 CRT expressed in Xenopus laevis oocyte assessed as inhibition of [3H]chloroquine uptake measured from 1 to 2 hrs,B,,,BAO_0000190,BAO_0000019,assay format,Clc1cccc(C(Nc2ccnc3cc(Cl)ccc23)c2ccc(CN3CCNCC3)cc2)c1,,,CHEMBL2169878,J. Med. Chem.,2012,"{'bei': '10.43', 'le': '0.21', 'lle': '-1.17', 'sei': '12.39'}",CHEMBL2170036,,CHEMBL2170036,4.98,False,http://www.openphacts.org/units/Nanomolar,1739535,=,1,True,=,,IC50,nM,,10500.0,CHEMBL1795182,Plasmodium falciparum,Chloroquine resistance transporter,5833,,,IC50,uM,UO_0000065,,10.5
,12111141,[],CHEMBL2176281,Inhibition of chloroquine-resistant Plasmodium falciparum Dd2 CRT expressed in Xenopus laevis oocyte assessed as inhibition of [3H]chloroquine uptake measured from 1 to 2 hrs,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,,,CHEMBL2169878,J. Med. Chem.,2012,"{'bei': '9.95', 'le': '0.19', 'lle': '-0.57', 'sei': '7.07'}",CHEMBL6966,VERAPAMIL,CHEMBL6966,4.52,True,http://www.openphacts.org/units/Nanomolar,1742950,=,1,True,=,,IC50,nM,,30000.0,CHEMBL1795182,Plasmodium falciparum,Chloroquine resistance transporter,5833,,,IC50,uM,UO_0000065,,30.0
,12111142,[],CHEMBL2176281,Inhibition of chloroquine-resistant Plasmodium falciparum Dd2 CRT expressed in Xenopus laevis oocyte assessed as inhibition of [3H]chloroquine uptake measured from 1 to 2 hrs,B,,,BAO_0000190,BAO_0000019,assay format,Clc1ccc(C(Nc2ccnc3cc(Cl)ccc23)c2ccc(CN3CCNCC3)cc2)cc1,,,CHEMBL2169878,J. Med. Chem.,2012,"{'bei': '10.45', 'le': '0.21', 'lle': '-1.16', 'sei': '12.41'}",CHEMBL2170034,,CHEMBL2170034,4.99,False,http://www.openphacts.org/units/Nanomolar,1739533,=,1,True,=,,IC50,nM,,10300.0,CHEMBL1795182,Plasmodium falciparum,Chloroquine resistance transporter,5833,,,IC50,uM,UO_0000065,,10.3
,12134647,[],CHEMBL2187303,Inhibition of chloroquine-resistant Plasmodium falciparum Dd2 CRT expressed in Xenopus laevis oocytes assessed as reduction in [3H]-chloroquine uptake after 1.5 to 2 hrs,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,,,CHEMBL2176916,J. Med. Chem.,2012,"{'bei': '7.28', 'le': '0.14', 'lle': '1.80', 'sei': '2.93'}",CHEMBL114,SAQUINAVIR,CHEMBL114,4.89,False,http://www.openphacts.org/units/Nanomolar,1754642,=,1,True,=,,IC50,nM,,13000.0,CHEMBL1795182,Plasmodium falciparum,Chloroquine resistance transporter,5833,,,IC50,uM,UO_0000065,,13.0
,12134648,[],CHEMBL2187303,Inhibition of chloroquine-resistant Plasmodium falciparum Dd2 CRT expressed in Xenopus laevis oocytes assessed as reduction in [3H]-chloroquine uptake after 1.5 to 2 hrs,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,,,CHEMBL2176916,J. Med. Chem.,2012,"{'bei': '9.95', 'le': '0.19', 'lle': '-0.57', 'sei': '7.07'}",CHEMBL6966,VERAPAMIL,CHEMBL6966,4.52,False,http://www.openphacts.org/units/Nanomolar,1754641,=,1,True,=,,IC50,nM,,30000.0,CHEMBL1795182,Plasmodium falciparum,Chloroquine resistance transporter,5833,,,IC50,uM,UO_0000065,,30.0
,12134649,[],CHEMBL2187303,Inhibition of chloroquine-resistant Plasmodium falciparum Dd2 CRT expressed in Xenopus laevis oocytes assessed as reduction in [3H]-chloroquine uptake after 1.5 to 2 hrs,B,,,BAO_0000190,BAO_0000219,cell-based format,Clc1ccc2c(Nc3ccc4c(c3)NCN(Cc3ccccc3)C4)ccnc2c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL2176916,J. Med. Chem.,2012,,CHEMBL2181208,,CHEMBL2181208,,False,http://www.openphacts.org/units/Nanomolar,1754632,=,1,True,=,,IC50,nM,,228000.0,CHEMBL1795182,Plasmodium falciparum,Chloroquine resistance transporter,5833,,,IC50,uM,UO_0000065,,228.0
