activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,32326,[],CHEMBL676566,Tested for binding affinity towards rabbit Endothelin A receptor,B,,,BAO_0000190,BAO_0000357,single protein format,C/C=C/C=C/C=C/C(=O)O[C@@H]1C=C2COC(O)[C@]2(O)[C@@]2(C)CCCC(C)(C)C12,,,CHEMBL1133352,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '10.78', 'le': '0.20', 'lle': '0.75', 'sei': '5.51'}",CHEMBL170335,,CHEMBL170335,4.19,False,http://www.openphacts.org/units/Nanomolar,338102,=,1,True,=,,IC50,nM,,65000.0,CHEMBL252,Homo sapiens,Endothelin receptor ET-A,9606,,,IC50,uM,UO_0000065,,65.0
,32328,[],CHEMBL681509,Tested for binding affinity towards human Endothelin A receptor,B,,,BAO_0000190,BAO_0000357,single protein format,C/C=C/C=C/C=C/C(=O)O[C@@H]1C=C2COC(O)[C@]2(O)[C@@]2(C)CCCC(C)(C)C12,,,CHEMBL1133352,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '10.83', 'le': '0.21', 'lle': '0.77', 'sei': '5.54'}",CHEMBL170335,,CHEMBL170335,4.21,False,http://www.openphacts.org/units/Nanomolar,338102,=,1,True,=,,IC50,nM,,62000.0,CHEMBL252,Homo sapiens,Endothelin receptor ET-A,9606,,,IC50,uM,UO_0000065,,62.0
,36122,[],CHEMBL682366,Inhibitory activity was evaluated against human Endothelin A receptor,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1[nH]c([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)OC(=O)NC2CCCCC2)nc1C(=O)O,,,CHEMBL1129499,J. Med. Chem.,1996.0,"{'bei': '14.94', 'le': '0.28', 'lle': '3.25', 'sei': '5.81'}",CHEMBL175228,,CHEMBL175228,8.03,False,http://www.openphacts.org/units/Nanomolar,349118,=,1,True,=,,IC50,nM,,9.3,CHEMBL252,Homo sapiens,Endothelin receptor ET-A,9606,,,IC50,uM,UO_0000065,,0.0093
,37307,[],CHEMBL682366,Inhibitory activity was evaluated against human Endothelin A receptor,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1oc([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)NC(=O)N(C)C2CCCCC2)nc1C(=O)O,,,CHEMBL1129499,J. Med. Chem.,1996.0,"{'bei': '13.78', 'le': '0.26', 'lle': '2.64', 'sei': '5.86'}",CHEMBL174699,,CHEMBL174699,7.60,False,http://www.openphacts.org/units/Nanomolar,349130,=,1,True,=,,IC50,nM,,25.0,CHEMBL252,Homo sapiens,Endothelin receptor ET-A,9606,,,IC50,uM,UO_0000065,,0.025
,39663,[],CHEMBL682366,Inhibitory activity was evaluated against human Endothelin A receptor,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1[nH]c([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)N(C)C(=O)NC2CCCCC2)nc1C(=O)O,,,CHEMBL1129499,J. Med. Chem.,1996.0,"{'bei': '13.91', 'le': '0.26', 'lle': '2.96', 'sei': '5.79'}",CHEMBL367033,,CHEMBL367033,7.66,False,http://www.openphacts.org/units/Nanomolar,349132,=,1,True,=,,IC50,nM,,22.0,CHEMBL252,Homo sapiens,Endothelin receptor ET-A,9606,,,IC50,uM,UO_0000065,,0.022
,40847,[],CHEMBL682366,Inhibitory activity was evaluated against human Endothelin A receptor,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1oc([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)N(C)C(=O)NC2CCCCC2)nc1C(=O)O,,,CHEMBL1129499,J. Med. Chem.,1996.0,"{'bei': '11.50', 'le': '0.22', 'lle': '1.39', 'sei': '4.89'}",CHEMBL369821,,CHEMBL369821,6.35,False,http://www.openphacts.org/units/Nanomolar,349127,=,1,True,=,,IC50,nM,,450.0,CHEMBL252,Homo sapiens,Endothelin receptor ET-A,9606,,,IC50,uM,UO_0000065,,0.45
,48145,[],CHEMBL682366,Inhibitory activity was evaluated against human Endothelin A receptor,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1oc([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)NC(=O)OC2CCCCC2)nc1C(=O)O,,,CHEMBL1129499,J. Med. Chem.,1996.0,"{'bei': '13.71', 'le': '0.26', 'lle': '2.34', 'sei': '5.44'}",CHEMBL353320,,CHEMBL353320,7.39,False,http://www.openphacts.org/units/Nanomolar,349129,=,1,True,=,,IC50,nM,,41.0,CHEMBL252,Homo sapiens,Endothelin receptor ET-A,9606,,,IC50,uM,UO_0000065,,0.041
,48149,[],CHEMBL682366,Inhibitory activity was evaluated against human Endothelin A receptor,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1oc([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)OC(=O)NC2CCCCC2)nc1C(=O)O,,,CHEMBL1129499,J. Med. Chem.,1996.0,"{'bei': '14.25', 'le': '0.27', 'lle': '2.63', 'sei': '5.66'}",CHEMBL177546,,CHEMBL177546,7.68,False,http://www.openphacts.org/units/Nanomolar,349126,=,1,True,=,,IC50,nM,,21.0,CHEMBL252,Homo sapiens,Endothelin receptor ET-A,9606,,,IC50,uM,UO_0000065,,0.021
,49405,[],CHEMBL681509,Tested for binding affinity towards human Endothelin A receptor,B,,,BAO_0000190,BAO_0000357,single protein format,C/C=C/C=C/C(=O)O[C@@H]1C=C2COC(OC)[C@]2(O)CC1,,,CHEMBL1133352,Bioorg. Med. Chem. Lett.,2000.0,"{'bei': '18.14', 'le': '0.35', 'lle': '3.61', 'sei': '7.83'}",CHEMBL170446,,CHEMBL170446,5.09,False,http://www.openphacts.org/units/Nanomolar,338100,=,1,True,=,,IC50,nM,,8200.0,CHEMBL252,Homo sapiens,Endothelin receptor ET-A,9606,,,IC50,uM,UO_0000065,,8.2
,49537,[],CHEMBL682366,Inhibitory activity was evaluated against human Endothelin A receptor,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1[nH]c([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)NC(=O)NC2CCCCC2)nc1C(=O)O,,,CHEMBL1129499,J. Med. Chem.,1996.0,"{'bei': '14.83', 'le': '0.28', 'lle': '3.61', 'sei': '5.64'}",CHEMBL174448,,CHEMBL174448,7.96,False,http://www.openphacts.org/units/Nanomolar,349114,=,1,True,=,,IC50,nM,,11.0,CHEMBL252,Homo sapiens,Endothelin receptor ET-A,9606,,,IC50,uM,UO_0000065,,0.011
,49541,[],CHEMBL682366,Inhibitory activity was evaluated against human Endothelin A receptor,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1oc([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@@H](CC(=O)NC2CCCCC2)CC(C)C)nc1C(=O)O,,,CHEMBL1129499,J. Med. Chem.,1996.0,"{'bei': '12.13', 'le': '0.23', 'lle': '1.44', 'sei': '5.15'}",CHEMBL177839,,CHEMBL177839,6.51,False,http://www.openphacts.org/units/Nanomolar,349125,=,1,True,=,,IC50,nM,,310.0,CHEMBL252,Homo sapiens,Endothelin receptor ET-A,9606,,,IC50,uM,UO_0000065,,0.31
