,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL170335,C/C=C/C=C/C=C/C(=O)O[C@@H]1C=C2COC(O)[C@]2(O)[C@@]2(C)CCCC(C)(C)C12,inactive,388.50400000000025,3.439000000000002,2.0,5.0,4.187086643357144
1,CHEMBL175228,Cc1[nH]c([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)OC(=O)NC2CCCCC2)nc1C(=O)O,active,537.6610000000005,4.781620000000004,4.0,6.0,8.031517051446064
2,CHEMBL174699,Cc1oc([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)NC(=O)N(C)C2CCCCC2)nc1C(=O)O,active,551.6880000000004,4.961720000000004,3.0,6.0,7.6020599913279625
3,CHEMBL367033,Cc1[nH]c([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)N(C)C(=O)NC2CCCCC2)nc1C(=O)O,active,550.7040000000005,4.696820000000003,4.0,5.0,7.657577319177793
4,CHEMBL369821,Cc1oc([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)N(C)C(=O)NC2CCCCC2)nc1C(=O)O,active,551.6880000000004,4.961720000000004,3.0,6.0,6.346787486224656
5,CHEMBL353320,Cc1oc([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)NC(=O)OC2CCCCC2)nc1C(=O)O,active,538.6450000000004,5.046520000000004,3.0,7.0,7.3872161432802645
6,CHEMBL177546,Cc1oc([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)OC(=O)NC2CCCCC2)nc1C(=O)O,active,538.6450000000004,5.046520000000004,3.0,7.0,7.6777807052660805
8,CHEMBL174448,Cc1[nH]c([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)NC(=O)NC2CCCCC2)nc1C(=O)O,active,536.6770000000005,4.354620000000002,5.0,5.0,7.958607314841775
9,CHEMBL177839,Cc1oc([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@@H](CC(=O)NC2CCCCC2)CC(C)C)nc1C(=O)O,active,536.6730000000005,5.074220000000004,3.0,6.0,6.508638306165727
10,CHEMBL367645,Cc1[nH]c([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)NC(=O)OC2CCCCC2)nc1C(=O)O,active,537.6610000000005,4.781620000000004,4.0,6.0,7.119186407719209
11,CHEMBL353502,C/C=C/C=C/C(=O)O[C@@H]1C=C2COC(O)[C@]2(O)[C@@]2(C)CCCC(C)(C)C12,inactive,362.4660000000002,2.8828000000000014,2.0,5.0,4.301029995663981
13,CHEMBL366805,Cc1[nH]c([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@@H](CC(=O)NC2CCCCC2)CC(C)C)nc1C(=O)O,active,535.6890000000005,4.809320000000004,4.0,5.0,7.5376020021010435
14,CHEMBL368629,Cc1oc([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)OC(=O)OC2CCCCC2)nc1C(=O)O,active,539.6290000000005,5.473520000000004,2.0,8.0,7.769551078621726
15,CHEMBL177179,Cc1oc([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)NC(=O)CC2CCCCC2)nc1C(=O)O,active,536.6730000000005,5.074220000000004,3.0,6.0,6.167491087293763
16,CHEMBL173059,C/C=C/C=C/C=C/C(=O)O[C@@H]1C=C2COC(=O)[C@]2(O)[C@@]2(C)CCCC(C)(C)C12,inactive,386.4880000000002,3.6472000000000024,1.0,5.0,3.8096683018297086
17,CHEMBL414605,Cc1[nH]c([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)NC(=O)N(C)C2CCCCC2)nc1C(=O)O,active,550.7040000000005,4.696820000000003,4.0,5.0,8.744727494896694
18,CHEMBL174871,Cc1[nH]c([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)NC(=O)CC2CCCCC2)nc1C(=O)O,active,535.6890000000005,4.809320000000004,4.0,5.0,6.327902142064283
19,CHEMBL441112,Cc1oc([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)NC(=O)NC2CCCCC2)nc1C(=O)O,active,537.6610000000004,4.619520000000003,4.0,6.0,6.657577319177793
21,CHEMBL175698,Cc1oc([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)OC(=O)N(C)C2CCCCC2)nc1C(=O)O,active,552.6720000000005,5.388720000000005,2.0,7.0,8.337242168318426
22,CHEMBL278176,CCCc1cc(Cn2c(CC)nc3c(C)cc(C)nc32)ccc1OC(C(=O)NS(=O)(=O)c1ccc(C(C)C)cc1)c1ccc2c(c1)OCO2,active,682.8430000000001,7.088640000000008,1.0,9.0,7.619788758288394
23,CHEMBL323464,CCCCS(=O)(=O)N(CCC)CCN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)c(F)c1,active,564.6760000000003,4.2462000000000035,1.0,7.0,10.356547323513812
25,CHEMBL416324,CO/N=C(\C)c1cc(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,active,496.99800000000016,4.738260000000004,2.0,8.0,10.397940008672037
26,CHEMBL303806,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(C(=O)O)c1,active,469.92800000000017,4.066060000000002,3.0,7.0,8.581698708680255
27,CHEMBL9194,CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1,active,510.63100000000026,4.694000000000004,1.0,6.0,9.508638306165727
28,CHEMBL111277,CCCCCS(=O)(=O)N(CCC)CCN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)c(F)c1,active,578.7030000000002,4.636300000000004,1.0,7.0,10.10790539730952
29,CHEMBL419367,CCCN(CCN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)c(F)c1)S(=O)(=O)CCCC(F)(F)F,active,618.6460000000002,4.788600000000004,1.0,7.0,10.259637310505756
30,CHEMBL304860,CCCc1c(O)c(C(C)=O)cc(C(C)=O)c1NC(=O)c1sc(C)cc1S(=O)(=O)Nc1onc(C)c1Cl,active,554.0460000000002,5.122740000000004,3.0,9.0,7.907981529247203
31,CHEMBL294563,CC(=O)c1cc(C)cc(C)c1NC(=O)c1sc(C)cc1S(=O)(=O)Nc1onc(C)c1Cl,active,481.9830000000002,4.878880000000003,2.0,7.0,9.67778070526608
32,CHEMBL61425,CC(C)C[C@@H]1NC(=O)[C@@H](c2cccs2)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CC(=O)N2CCN(c3ccccc3)CC2)NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC1=O.[Na+].[Na+],active,926.022,-1.8679999999999968,7.0,13.0,9.619788758288394
34,CHEMBL277595,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(C)c1,active,439.94600000000014,4.676280000000003,2.0,6.0,9.823908740944319
35,CHEMBL61711,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(C(=O)N(C)CC(C)(C)C)c1,active,553.1060000000002,5.485960000000005,2.0,7.0,9.167491087293763
36,CHEMBL291592,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(S(=O)(=O)C(C)C)c1,active,532.0650000000002,4.549960000000003,2.0,8.0,10.301029995663981
37,CHEMBL300547,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(C(=O)c2ccccc2)c1,active,530.0270000000003,5.598860000000005,2.0,7.0,9.4089353929735
38,CHEMBL293830,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(C(=O)C2CC2)c1,active,493.99400000000026,4.960560000000004,2.0,7.0,10.522878745280337
39,CHEMBL294291,CC(=O)c1c(C)c(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,active,481.9830000000002,4.878880000000004,2.0,7.0,10.698970004336019
42,CHEMBL300577,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(C(=O)N(C)C)c1,active,496.9980000000002,4.0696600000000025,2.0,7.0,10.154901959985743
43,CHEMBL60276,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(C(N)=O)c1,active,468.9440000000002,3.4667600000000007,3.0,7.0,9.853871964321762
44,CHEMBL304460,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(S(C)(=O)=O)c1,active,504.0110000000002,3.7713600000000023,2.0,8.0,10.522878745280337
45,CHEMBL58359,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2C)c(C#N)c1C,active,444.53800000000024,4.202980000000003,2.0,7.0,10.096910013008056
46,CHEMBL19950,CC(=O)c1cc(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,active,467.95600000000013,4.570460000000003,2.0,7.0,10.397940008672037
47,CHEMBL409777,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H]1CSSC[C@H](N)C(=O)N[C@@H](CO)C(=O)N[C@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,inactive,1791.1090000000006,-3.8643999999999927,24.0,26.0,5.0
48,CHEMBL282724,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl)OCO2,active,454.91300000000024,3.9612400000000028,1.0,8.0,8.853871964321762
49,CHEMBL59288,Cc1cc(-c2ncco2)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,active,492.96600000000024,5.022860000000002,2.0,8.0,8.896196279044043
50,CHEMBL62159,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(C#N)c1C,active,464.9560000000002,4.547960000000003,2.0,7.0,10.301029995663981
51,CHEMBL314691,CC(C)C[C@@H]1NC(=O)[C@@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC1=O,active,610.7120000000002,0.8310000000000066,6.0,6.0,7.657577319177793
52,CHEMBL62019,CCCS(=O)(=O)c1cc(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,active,532.0650000000002,4.551560000000004,2.0,8.0,10.221848749616356
53,CHEMBL305602,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(C(=O)CS(C)(=O)=O)c1,active,546.0480000000002,3.5951600000000017,2.0,9.0,10.0
54,CHEMBL62112,CCC(=O)c1cc(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,active,481.9830000000002,4.960560000000004,2.0,7.0,10.221848749616356
55,CHEMBL325581,CCCN(CCN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)c(F)c1)S(=O)(=O)CCCCl,active,585.094,4.075000000000003,1.0,7.0,10.154901959985743
56,CHEMBL1205177,CC(C)C[C@@H]1NC(=O)[C@@H](c2cccs2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)N2CCN(c3ccccc3)CC2)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC1=O,active,928.038,0.8014000000000094,9.0,11.0,9.619788758288394
57,CHEMBL60367,CCC(=O)c1c(C)c(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,active,496.0100000000002,5.2689800000000035,2.0,7.0,10.522878745280337
58,CHEMBL293398,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(Cl)c1,active,460.36400000000015,5.0212600000000025,2.0,6.0,10.045757490560675
59,CHEMBL293421,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(C(=O)C2CCCCC2)c1,active,536.0750000000003,6.130860000000005,2.0,7.0,8.863279432843592
60,CHEMBL60058,C/C(=N\O)c1cc(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,active,482.9710000000001,4.566060000000003,3.0,8.0,10.698970004336019
62,CHEMBL59819,Cc1ccc(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(C(=O)OC(C)C)c1,active,497.9820000000003,4.624640000000003,2.0,8.0,9.958607314841775
65,CHEMBL61780,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)C)cn2)nc(-c2ccnc(-c3nn[nH]n3)c2)nc1OCCO,active,605.6370000000001,3.2099000000000015,3.0,13.0,7.638272163982407
66,CHEMBL58058,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(-c2ccccc2)c1,active,502.01700000000017,6.0348600000000046,2.0,6.0,8.832682665251824
