activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,1747710,[],CHEMBL867991,Inhibition of VEGF165-NRP1 interaction by ELISA,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)CCCOc1cccc2c(C#N)c(-c3ccccc3)c(NC3CCCCC3)n12,,,CHEMBL1146846,Bioorg. Med. Chem. Lett.,2006,"{'bei': '9.85', 'le': '0.18', 'lle': '-1.45', 'sei': '7.78'}",CHEMBL212560,,CHEMBL212560,4.10,False,http://www.openphacts.org/units/Nanomolar,548320,=,1,True,=,,IC50,nM,,79000.0,CHEMBL5174,Homo sapiens,Neuropilin-1,9606,,,IC50,uM,UO_0000065,,79.0
,1747711,[],CHEMBL867991,Inhibition of VEGF165-NRP1 interaction by ELISA,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)CCNc1cccc2c(C#N)c(-c3ccccc3)c(NC3CCCCC3)n12,,,CHEMBL1146846,Bioorg. Med. Chem. Lett.,2006,"{'bei': '10.90', 'le': '0.20', 'lle': '-0.82', 'sei': '7.89'}",CHEMBL386641,,CHEMBL386641,4.38,False,http://www.openphacts.org/units/Nanomolar,548321,=,1,True,=,,IC50,nM,,42000.0,CHEMBL5174,Homo sapiens,Neuropilin-1,9606,,,IC50,uM,UO_0000065,,42.0
,1747712,[],CHEMBL867991,Inhibition of VEGF165-NRP1 interaction by ELISA,B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1c(-c2ccccc2)c(Nc2cccc(N)c2)n2c(Cl)cccc12,,,CHEMBL1146846,Bioorg. Med. Chem. Lett.,2006,"{'bei': '11.42', 'le': '0.22', 'lle': '-1.36', 'sei': '6.18'}",CHEMBL425440,,CHEMBL425440,4.10,False,http://www.openphacts.org/units/Nanomolar,548327,=,1,True,=,,IC50,nM,,80000.0,CHEMBL5174,Homo sapiens,Neuropilin-1,9606,,,IC50,uM,UO_0000065,,80.0
,1747713,[],CHEMBL867991,Inhibition of VEGF165-NRP1 interaction by ELISA,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)CCCNc1c(-c2ccccc2)c(C#N)c2cccc(Cl)n12,,,CHEMBL1146846,Bioorg. Med. Chem. Lett.,2006,"{'bei': '11.92', 'le': '0.23', 'lle': '-0.28', 'sei': '9.68'}",CHEMBL436932,,CHEMBL436932,4.21,False,http://www.openphacts.org/units/Nanomolar,548328,=,1,True,=,,IC50,nM,,62000.0,CHEMBL5174,Homo sapiens,Neuropilin-1,9606,,,IC50,uM,UO_0000065,,62.0
,1747714,[],CHEMBL867991,Inhibition of VEGF165-NRP1 interaction by ELISA,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cccc(C)c1Nc1c(-c2ccccc2)c(C#N)c2cccc(Cl)n12,,,CHEMBL1146846,Bioorg. Med. Chem. Lett.,2006,"{'bei': '11.35', 'le': '0.21', 'lle': '-2.27', 'sei': '10.49'}",CHEMBL213321,,CHEMBL213321,4.22,False,http://www.openphacts.org/units/Nanomolar,548329,=,1,True,=,,IC50,nM,,60000.0,CHEMBL5174,Homo sapiens,Neuropilin-1,9606,,,IC50,uM,UO_0000065,,60.0
,1747715,[],CHEMBL867991,Inhibition of VEGF165-NRP1 interaction by ELISA,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)c1ccc(Nc2c(-c3ccccc3)c(C#N)c3cccc(Cl)n23)cc1,,,CHEMBL1146846,Bioorg. Med. Chem. Lett.,2006,"{'bei': '11.19', 'le': '0.21', 'lle': '-1.61', 'sei': '9.96'}",CHEMBL379547,,CHEMBL379547,4.33,False,http://www.openphacts.org/units/Nanomolar,548330,=,1,True,=,,IC50,nM,,47000.0,CHEMBL5174,Homo sapiens,Neuropilin-1,9606,,,IC50,uM,UO_0000065,,47.0
,1747716,[],CHEMBL867991,Inhibition of VEGF165-NRP1 interaction by ELISA,B,,,BAO_0000190,BAO_0000357,single protein format,COCCNc1c(-c2ccccc2)c(C#N)c2cccc(Cl)n12,,,CHEMBL1146846,Bioorg. Med. Chem. Lett.,2006,"{'bei': '15.49', 'le': '0.30', 'lle': '0.86', 'sei': '10.20'}",CHEMBL215998,,CHEMBL215998,5.05,False,http://www.openphacts.org/units/Nanomolar,548334,=,1,True,=,,IC50,nM,,9000.0,CHEMBL5174,Homo sapiens,Neuropilin-1,9606,,,IC50,uM,UO_0000065,,9.0
,1747717,[],CHEMBL867991,Inhibition of VEGF165-NRP1 interaction by ELISA,B,,,BAO_0000190,BAO_0000357,single protein format,CN(CCNc1c(-c2ccccc2)c(C#N)c2cccc(Cl)n12)Cc1ccccc1,,,CHEMBL1146846,Bioorg. Med. Chem. Lett.,2006,"{'bei': '13.01', 'le': '0.25', 'lle': '-0.28', 'sei': '12.42'}",CHEMBL411137,,CHEMBL411137,5.40,False,http://www.openphacts.org/units/Nanomolar,548335,=,1,True,=,,IC50,nM,,4000.0,CHEMBL5174,Homo sapiens,Neuropilin-1,9606,,,IC50,uM,UO_0000065,,4.0
,1747718,[],CHEMBL867991,Inhibition of VEGF165-NRP1 interaction by ELISA,B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1c(-c2ccccc2)c(NCCc2ccc(Cl)cc2)n2c(Cl)cccc12,,,CHEMBL1146846,Bioorg. Med. Chem. Lett.,2006,"{'bei': '13.28', 'le': '0.26', 'lle': '-1.04', 'sei': '13.42'}",CHEMBL386808,,CHEMBL386808,5.40,False,http://www.openphacts.org/units/Nanomolar,548336,=,1,True,=,,IC50,nM,,4000.0,CHEMBL5174,Homo sapiens,Neuropilin-1,9606,,,IC50,uM,UO_0000065,,4.0
,1747719,[],CHEMBL867991,Inhibition of VEGF165-NRP1 interaction by ELISA,B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1c(-c2ccccc2)c(NCCc2ccccc2Cl)n2c(Cl)cccc12,,,CHEMBL1146846,Bioorg. Med. Chem. Lett.,2006,"{'bei': '13.59', 'le': '0.27', 'lle': '-0.92', 'sei': '13.73'}",CHEMBL214248,,CHEMBL214248,5.52,False,http://www.openphacts.org/units/Nanomolar,548337,=,1,True,=,,IC50,nM,,3000.0,CHEMBL5174,Homo sapiens,Neuropilin-1,9606,,,IC50,uM,UO_0000065,,3.0
