activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,431766,[],CHEMBL762382,Inhibition against Escherichia coli peptide deformylase,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,,,CHEMBL1146620,Bioorg. Med. Chem. Lett.,2003,"{'bei': '23.29', 'le': '0.46', 'lle': '6.35', 'sei': '8.89'}",CHEMBL96864,,CHEMBL96864,8.00,False,http://www.openphacts.org/units/Nanomolar,167490,=,1,True,=,,IC50,nM,,10.0,CHEMBL4647,Homo sapiens,Peptide deformylase mitochondrial,9606,,,IC50,nM,UO_0000065,,10.0
,431769,[],CHEMBL762382,Inhibition against Escherichia coli peptide deformylase,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,,,CHEMBL1146620,Bioorg. Med. Chem. Lett.,2003,"{'bei': '19.91', 'le': '0.39', 'lle': '4.97', 'sei': '8.22'}",CHEMBL88314,,CHEMBL88314,7.40,False,http://www.openphacts.org/units/Nanomolar,167488,=,1,True,=,,IC50,nM,,40.0,CHEMBL4647,Homo sapiens,Peptide deformylase mitochondrial,9606,,,IC50,nM,UO_0000065,,40.0
,431772,[],CHEMBL762382,Inhibition against Escherichia coli peptide deformylase,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,,,CHEMBL1146620,Bioorg. Med. Chem. Lett.,2003,"{'bei': '23.15', 'le': '0.45', 'lle': '6.57', 'sei': '8.12'}",CHEMBL90378,,CHEMBL90378,7.30,False,http://www.openphacts.org/units/Nanomolar,167486,=,1,True,=,,IC50,nM,,50.0,CHEMBL4647,Homo sapiens,Peptide deformylase mitochondrial,9606,,,IC50,nM,UO_0000065,,50.0
,431775,[],CHEMBL762382,Inhibition against Escherichia coli peptide deformylase,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)C[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,,,CHEMBL1146620,Bioorg. Med. Chem. Lett.,2003,"{'bei': '24.28', 'le': '0.48', 'lle': '6.88', 'sei': '8.89'}",CHEMBL413726,,CHEMBL413726,8.00,False,http://www.openphacts.org/units/Nanomolar,167485,=,1,True,=,,IC50,nM,,10.0,CHEMBL4647,Homo sapiens,Peptide deformylase mitochondrial,9606,,,IC50,nM,UO_0000065,,10.0
,433202,[],CHEMBL762382,Inhibition against Escherichia coli peptide deformylase,B,,,BAO_0000190,BAO_0000357,single protein format,CC#CC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,,,CHEMBL1146620,Bioorg. Med. Chem. Lett.,2003,"{'bei': '23.12', 'le': '0.45', 'lle': '7.04', 'sei': '8.36'}",CHEMBL91461,,CHEMBL91461,7.52,False,http://www.openphacts.org/units/Nanomolar,167478,=,1,True,=,,IC50,nM,,30.0,CHEMBL4647,Homo sapiens,Peptide deformylase mitochondrial,9606,,,IC50,nM,UO_0000065,,30.0
,434368,[],CHEMBL762382,Inhibition against Escherichia coli peptide deformylase,B,,,BAO_0000190,BAO_0000357,single protein format,C=CC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,,,CHEMBL1146620,Bioorg. Med. Chem. Lett.,2003,"{'bei': '24.00', 'le': '0.47', 'lle': '6.87', 'sei': '8.36'}",CHEMBL93648,,CHEMBL93648,7.52,False,http://www.openphacts.org/units/Nanomolar,167480,=,1,True,=,,IC50,nM,,30.0,CHEMBL4647,Homo sapiens,Peptide deformylase mitochondrial,9606,,,IC50,nM,UO_0000065,,30.0
,436892,[],CHEMBL762382,Inhibition against Escherichia coli peptide deformylase,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,,,CHEMBL1146620,Bioorg. Med. Chem. Lett.,2003,"{'bei': '18.94', 'le': '0.37', 'lle': '4.48', 'sei': '8.12'}",CHEMBL314241,,CHEMBL314241,7.30,False,http://www.openphacts.org/units/Nanomolar,167487,=,1,True,=,,IC50,nM,,50.0,CHEMBL4647,Homo sapiens,Peptide deformylase mitochondrial,9606,,,IC50,nM,UO_0000065,,50.0
,438268,[],CHEMBL762382,Inhibition against Escherichia coli peptide deformylase,B,,,BAO_0000190,BAO_0000357,single protein format,CCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,,,CHEMBL1146620,Bioorg. Med. Chem. Lett.,2003,"{'bei': '23.15', 'le': '0.45', 'lle': '6.43', 'sei': '8.12'}",CHEMBL327700,,CHEMBL327700,7.30,False,http://www.openphacts.org/units/Nanomolar,167471,=,1,True,=,,IC50,nM,,50.0,CHEMBL4647,Homo sapiens,Peptide deformylase mitochondrial,9606,,,IC50,nM,UO_0000065,,50.0
,440814,[],CHEMBL762382,Inhibition against Escherichia coli peptide deformylase,B,,,BAO_0000190,BAO_0000357,single protein format,C=CCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,,,CHEMBL1146620,Bioorg. Med. Chem. Lett.,2003,"{'bei': '23.51', 'le': '0.46', 'lle': '6.66', 'sei': '8.56'}",CHEMBL540441,,CHEMBL540441,7.70,False,http://www.openphacts.org/units/Nanomolar,167479,=,1,True,=,,IC50,nM,,20.0,CHEMBL4647,Homo sapiens,Peptide deformylase mitochondrial,9606,,,IC50,nM,UO_0000065,,20.0
,442322,[],CHEMBL762382,Inhibition against Escherichia coli peptide deformylase,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)C(=O)[C@@H](NC(=O)[C@@H](CN(O)C=O)C1CCCC1)C(C)(C)C,,,CHEMBL1146620,Bioorg. Med. Chem. Lett.,2003,"{'bei': '22.55', 'le': '0.44', 'lle': '6.44', 'sei': '8.56'}",CHEMBL328502,,CHEMBL328502,7.70,False,http://www.openphacts.org/units/Nanomolar,167482,=,1,True,=,,IC50,nM,,20.0,CHEMBL4647,Homo sapiens,Peptide deformylase mitochondrial,9606,,,IC50,nM,UO_0000065,,20.0
