molecule_chembl_id,canonical_smiles,standard_value
CHEMBL96864,CCCCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,10.0
CHEMBL88314,CCCCCCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,40.0
CHEMBL90378,CC(C)[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,50.0
CHEMBL413726,CC(C)C[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,10.0
CHEMBL91461,CC#CC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,30.0
CHEMBL93648,C=CC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,30.0
CHEMBL314241,CCCCCCCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,50.0
CHEMBL327700,CCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,50.0
CHEMBL540441,C=CCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,20.0
CHEMBL328502,CN(C)C(=O)[C@@H](NC(=O)[C@@H](CN(O)C=O)C1CCCC1)C(C)(C)C,20.0
CHEMBL431210,CCCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,7.0
CHEMBL91882,CC(C)CC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,20.0
CHEMBL93365,CCCC[C@H](CCN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,1000.0
CHEMBL90193,CN(C)C(=O)[C@@H](NC(=O)[C@H](CC1CCCCC1)CN(O)C=O)C(C)(C)C,6.0
CHEMBL91105,CCCC[C@@H](C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C)C(C)N(O)C=O,600.0
CHEMBL91835,CCSC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,20.0
CHEMBL316099,CN(C)C(=O)[C@@H](NC(=O)[C@H](CC1CCCC1)CN(O)C=O)C(C)(C)C,8.0
CHEMBL90091,CC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,70.0
CHEMBL315668,CCCCCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,30.0
CHEMBL94197,COc1ccc(C[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C)cc1,200.0
CHEMBL94198,CN(C)C(=O)[C@@H](NC(=O)[C@@H](CN(O)C=O)c1ccc(Cl)cc1)C(C)(C)C,500.0
CHEMBL328688,CN(C)C(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)CN(O)C=O)C(C)(C)C,20.0
CHEMBL316120,CN(C)C(=O)[C@@H](NC(=O)[C@@H](CN(O)C=O)CN1CCCCC1)C(C)(C)C,1000.0
