activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,19324195,[],CHEMBL4418349,Inhibition of human hepcidin-stimulated recombinant C-terminal Halo-tagged human FPN internalization in MDCK cells incubated for 15 to 20 mins by Halo-tagged TMR based fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccccc1C(c1ccc2cccnc2c1O)N1CCOCC1,,,CHEMBL4418269,,,,CHEMBL4587096,,CHEMBL4587096,,False,http://www.openphacts.org/units/Nanomolar,3227948,<,38,True,<,,IC50,nM,,50000.0,CHEMBL3989381,Homo sapiens,Hepcidin,9606,,,IC50,uM,UO_0000065,,50.0
,19324196,[],CHEMBL4418349,Inhibition of human hepcidin-stimulated recombinant C-terminal Halo-tagged human FPN internalization in MDCK cells incubated for 15 to 20 mins by Halo-tagged TMR based fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(C(c2ccc3cccnc3c2O)N2CCOCC2)cn1,,,CHEMBL4418269,,,,CHEMBL4569558,,CHEMBL4569558,,False,http://www.openphacts.org/units/Nanomolar,3227947,<,38,True,<,,IC50,nM,,50000.0,CHEMBL3989381,Homo sapiens,Hepcidin,9606,,,IC50,uM,UO_0000065,,50.0
,19324197,[],CHEMBL4418349,Inhibition of human hepcidin-stimulated recombinant C-terminal Halo-tagged human FPN internalization in MDCK cells incubated for 15 to 20 mins by Halo-tagged TMR based fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1ccc(C(c2ccc3cccnc3c2O)N2CCOCC2)cc1,,,CHEMBL4418269,,,,CHEMBL4444319,,CHEMBL4444319,,False,http://www.openphacts.org/units/Nanomolar,3227946,<,38,True,<,,IC50,nM,,50000.0,CHEMBL3989381,Homo sapiens,Hepcidin,9606,,,IC50,uM,UO_0000065,,50.0
,19324198,[],CHEMBL4418349,Inhibition of human hepcidin-stimulated recombinant C-terminal Halo-tagged human FPN internalization in MDCK cells incubated for 15 to 20 mins by Halo-tagged TMR based fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(C(c2ccc3cccnc3c2O)N2CCOCC2)cc1,,,CHEMBL4418269,,,,CHEMBL4551418,,CHEMBL4551418,,False,http://www.openphacts.org/units/Nanomolar,3227945,<,38,True,<,,IC50,nM,,50000.0,CHEMBL3989381,Homo sapiens,Hepcidin,9606,,,IC50,uM,UO_0000065,,50.0
,19324199,[],CHEMBL4418349,Inhibition of human hepcidin-stimulated recombinant C-terminal Halo-tagged human FPN internalization in MDCK cells incubated for 15 to 20 mins by Halo-tagged TMR based fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,OCCN1CCN(C(c2ccccn2)c2ccc3cccnc3c2O)CC1,,,CHEMBL4418269,,,,CHEMBL4467603,,CHEMBL4467603,,False,http://www.openphacts.org/units/Nanomolar,3227944,<,38,True,<,,IC50,nM,,50000.0,CHEMBL3989381,Homo sapiens,Hepcidin,9606,,,IC50,uM,UO_0000065,,50.0
,19324200,[],CHEMBL4418349,Inhibition of human hepcidin-stimulated recombinant C-terminal Halo-tagged human FPN internalization in MDCK cells incubated for 15 to 20 mins by Halo-tagged TMR based fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Oc1c(C(c2ccccn2)N2CCC(Cc3ccccc3)CC2)ccc2cccnc12,,,CHEMBL4418269,,,,CHEMBL4461400,,CHEMBL4461400,,False,http://www.openphacts.org/units/Nanomolar,3227943,<,38,True,<,,IC50,nM,,50000.0,CHEMBL3989381,Homo sapiens,Hepcidin,9606,,,IC50,uM,UO_0000065,,50.0
,19324201,[],CHEMBL4418349,Inhibition of human hepcidin-stimulated recombinant C-terminal Halo-tagged human FPN internalization in MDCK cells incubated for 15 to 20 mins by Halo-tagged TMR based fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Oc1c(C(Nc2ccccn2)c2cccnc2)cc(Cl)c2cccnc12,,,CHEMBL4418269,,,,CHEMBL1501558,,CHEMBL1501558,,False,http://www.openphacts.org/units/Nanomolar,3227942,<,38,True,<,,IC50,nM,,50000.0,CHEMBL3989381,Homo sapiens,Hepcidin,9606,,,IC50,uM,UO_0000065,,50.0
,19324202,[],CHEMBL4418349,Inhibition of human hepcidin-stimulated recombinant C-terminal Halo-tagged human FPN internalization in MDCK cells incubated for 15 to 20 mins by Halo-tagged TMR based fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(Oc1c(CN2CCOCC2)cc(Cl)c2cccnc12)c1ccccc1,,,CHEMBL4418269,,,,CHEMBL1468306,,CHEMBL1468306,,False,http://www.openphacts.org/units/Nanomolar,3227941,<,38,True,<,,IC50,nM,,50000.0,CHEMBL3989381,Homo sapiens,Hepcidin,9606,,,IC50,uM,UO_0000065,,50.0
,19324203,[],CHEMBL4418349,Inhibition of human hepcidin-stimulated recombinant C-terminal Halo-tagged human FPN internalization in MDCK cells incubated for 15 to 20 mins by Halo-tagged TMR based fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc(C(=O)Oc2c(CN3CCOCC3)cc(Cl)c3cccnc23)cc(OC)c1OC,,,CHEMBL4418269,,,,CHEMBL1431928,,CHEMBL1431928,,False,http://www.openphacts.org/units/Nanomolar,3227940,<,38,True,<,,IC50,nM,,50000.0,CHEMBL3989381,Homo sapiens,Hepcidin,9606,,,IC50,uM,UO_0000065,,50.0
,19324204,[],CHEMBL4418349,Inhibition of human hepcidin-stimulated recombinant C-terminal Halo-tagged human FPN internalization in MDCK cells incubated for 15 to 20 mins by Halo-tagged TMR based fluorescence assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(Oc1c(CN2CCOCC2)cc(Cl)c2cccnc12)c1ccco1,,,CHEMBL4418269,,,,CHEMBL4476656,,CHEMBL4476656,,False,http://www.openphacts.org/units/Nanomolar,3227939,<,38,True,<,,IC50,nM,,50000.0,CHEMBL3989381,Homo sapiens,Hepcidin,9606,,,IC50,uM,UO_0000065,,50.0
