,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL4587096,Cc1ccccc1C(c1ccc2cccnc2c1O)N1CCOCC1,inactive,334.4190000000002,3.6704200000000027,1.0,4.0,4.301029995663981
1,CHEMBL4569558,COc1ccc(C(c2ccc3cccnc3c2O)N2CCOCC2)cn1,inactive,351.4060000000002,2.765600000000001,1.0,6.0,4.301029995663981
2,CHEMBL4444319,N#Cc1ccc(C(c2ccc3cccnc3c2O)N2CCOCC2)cc1,inactive,345.40200000000016,3.2336800000000014,1.0,5.0,4.301029995663981
3,CHEMBL4551418,Cc1ccc(C(c2ccc3cccnc3c2O)N2CCOCC2)cc1,inactive,334.41900000000015,3.6704200000000027,1.0,4.0,4.301029995663981
4,CHEMBL4467603,OCCN1CCN(C(c2ccccn2)c2ccc3cccnc3c2O)CC1,inactive,364.4490000000002,2.034699999999999,2.0,6.0,4.301029995663981
5,CHEMBL4461400,Oc1c(C(c2ccccn2)N2CCC(Cc3ccccc3)CC2)ccc2cccnc12,inactive,409.53300000000013,5.3795000000000055,1.0,4.0,4.301029995663981
6,CHEMBL1501558,Oc1c(C(Nc2ccccn2)c2cccnc2)cc(Cl)c2cccnc12,inactive,362.8200000000001,4.585300000000002,2.0,5.0,4.301029995663981
7,CHEMBL1468306,O=C(Oc1c(CN2CCOCC2)cc(Cl)c2cccnc12)c1ccccc1,inactive,382.84700000000004,3.939600000000003,0.0,5.0,4.301029995663981
8,CHEMBL1431928,COc1cc(C(=O)Oc2c(CN3CCOCC3)cc(Cl)c3cccnc23)cc(OC)c1OC,inactive,472.9250000000001,3.9654000000000034,0.0,8.0,4.301029995663981
9,CHEMBL4476656,O=C(Oc1c(CN2CCOCC2)cc(Cl)c2cccnc12)c1ccco1,inactive,372.80800000000005,3.532600000000002,0.0,6.0,4.301029995663981
10,CHEMBL4470377,Oc1c(C(c2ccc(Cl)cc2)N2CCOCC2)cc(Cl)c2cccnc12,inactive,389.282,4.668800000000004,1.0,4.0,4.301029995663981
11,CHEMBL1530097,Oc1c(C(c2ccccn2)N2CCOCC2)ccc2cccnc12,inactive,321.38,2.7570000000000006,1.0,5.0,4.301029995663981
12,CHEMBL2094275,Oc1c(C(c2ccccc2Cl)N2CCOCC2)ccc2cccnc12,inactive,354.837,4.015400000000003,1.0,4.0,4.301029995663981
13,CHEMBL4593293,COc1ccccc1C(c1ccc2cccnc2c1O)N1CCOCC1,inactive,350.4180000000002,3.3706000000000023,1.0,5.0,4.301029995663981
14,CHEMBL4476152,Oc1c(C(c2cnccn2)N2CCOCC2)ccc2cccnc12,inactive,322.368,2.152,1.0,6.0,4.301029995663981
15,CHEMBL4455925,Oc1c(C(c2nccn2Cc2ccccc2)N2CCOCC2)ccc2cccnc12,inactive,400.48200000000014,3.6068000000000024,1.0,6.0,4.301029995663981
16,CHEMBL4434882,Oc1c(C(NCc2ccccc2)c2ccncc2)ccc2cccnc12,inactive,341.4140000000001,4.2146000000000035,2.0,4.0,4.301029995663981
17,CHEMBL4439046,CC1CN(C(c2ccncc2)c2ccc3cccnc3c2O)CC(C)O1,inactive,349.43400000000014,3.5340000000000025,1.0,5.0,4.301029995663981
18,CHEMBL4466135,CN(Cc1ccccc1)C(c1ccncc1)c1ccc2cccnc2c1O,inactive,355.4410000000001,4.556800000000004,1.0,4.0,4.301029995663981
19,CHEMBL4532395,CC1CN(C(c2ccc(F)cc2)c2ccc3cccnc3c2O)CC(C)O1,inactive,366.43600000000015,4.278100000000003,1.0,4.0,4.301029995663981
20,CHEMBL4441289,Oc1c(C(c2cccs2)N2CCOCC2)ccc2cccnc12,inactive,326.421,3.4235000000000015,1.0,5.0,4.301029995663981
21,CHEMBL2008641,Oc1c(CN2CCOCC2)ccc2cccnc12,inactive,244.294,1.7726,1.0,4.0,4.301029995663981
22,CHEMBL4592829,COc1cc(COc2c(CN3CCOCC3)ccc3cccnc23)cc(OC)c1OC,inactive,424.4970000000001,3.671800000000003,0.0,7.0,4.0
23,CHEMBL4467065,NC(=O)c1ccc(C(c2ccc3cccnc3c2O)N2CCOCC2)cc1,inactive,363.4170000000002,2.4609000000000005,2.0,5.0,4.301029995663981
24,CHEMBL4483425,Oc1c(C(c2ccccn2)N2CCOCC2)cc(Cl)c2cccnc12,inactive,355.825,3.410400000000002,1.0,5.0,4.301029995663981
25,CHEMBL4565197,CCOC(=O)N1CCN(C(c2ccccn2)c2ccc3cccnc3c2O)CC1,inactive,392.45900000000023,3.198900000000002,1.0,6.0,4.301029995663981
26,CHEMBL4525641,Oc1c(C(c2ccccn2)N2CCCCC2)ccc2cccnc12,inactive,319.40799999999996,3.910700000000003,1.0,4.0,4.301029995663981
27,CHEMBL4520470,Oc1c(C(c2ccc(F)cc2)N2CCOCC2)ccc2cccnc12,inactive,338.382,3.501100000000002,1.0,4.0,4.301029995663981
28,CHEMBL4520802,Oc1c(C(c2cccnc2)N2CCOCC2)ccc2cccnc12,inactive,321.38,2.7570000000000014,1.0,5.0,4.301029995663981
29,CHEMBL4437705,Oc1c(C(c2ccncc2)N2CCOCC2)ccc2cccnc12,inactive,321.38,2.7570000000000014,1.0,5.0,4.301029995663981
30,CHEMBL2407599,Oc1c(CN2CCOCC2)cc(Cl)c2cccnc12,inactive,278.73900000000003,2.426,1.0,4.0,4.301029995663981
31,CHEMBL1503729,Oc1c(C(c2ccccn2)N2CCCCC2)cc(Cl)c2cccnc12,inactive,353.853,4.564100000000004,1.0,4.0,4.301029995663981
32,CHEMBL4549811,CC1CN(C(c2ccccn2)c2cc(Cl)c3cccnc3c2O)CC(C)O1,inactive,383.87900000000013,4.187400000000003,1.0,5.0,4.301029995663981
33,CHEMBL4526159,Oc1c(C(c2ccccn2)N2CCN(Cc3ccccc3)CC2)ccc2cccnc12,inactive,410.52100000000013,4.242600000000003,1.0,5.0,4.301029995663981
34,CHEMBL4475166,CN1CCN(C(c2ccccn2)c2ccc3cccnc3c2O)CC1,inactive,334.4230000000001,2.672200000000001,1.0,5.0,4.301029995663981
35,CHEMBL4439334,Oc1c(C(c2ccccn2)N2CCC(c3ccccc3F)CC2)ccc2cccnc12,inactive,413.49600000000015,5.443500000000005,1.0,4.0,4.301029995663981
36,CHEMBL4475247,Oc1c(C(c2ccccn2)N2CCN(c3ccccn3)CC2)ccc2cccnc12,inactive,397.48200000000014,3.642000000000002,1.0,6.0,4.301029995663981
37,CHEMBL4472835,Oc1c(CN2CCOCC2)cc(CN2CCOCC2)c2cccnc12,inactive,343.427,1.6047999999999996,1.0,6.0,4.0
